NPP Category,OMB Category,Tax Expenditure Name,Year,Original Name,Corporate,Individual,Total for 1981 and 1982,Original OMB Category
Commerce,International affairs,Deferral of income from controlled foreign corporations,1978,Deferral of income of controlled foreign corporations (DISC),585,,,Agriculture
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1978,,1000,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1978,Deferral of interest on savings bonds,,620,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1978,,80,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1978,,145,130,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1978,,75,300,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1978,,,440,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1978,Earned income credit,,285,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1978,,755,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess first-year depreciation,1978,,45,130,,"Education, training, employment, and social services"
Energy & Environment,Energy,Excess of percentage over cost depletion,1978,,1115,385,,"Education, training, employment, and social services"
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1978,,,1260,,Income security
Housing & Community,Commerce and Housing,Exclusion of capital gains on home sales for persons age 55 and over,1978,,,,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1978,,,110,,
Food & Agriculture,Agriculture ,Exclusion of certain cost-sharing payments,1978,,,,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of contributions to prepaid legal services plans,1978,,,10,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1978,,,130,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1978,,,300,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1978,,,7105,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,1978,Employer educational assistance,,,,"Natural resources, environment, and energy"
Government,Veterans' benefits and services,Exclusion of GI bill benefits,1978,,,225,,Energy
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1978,,,565,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1978,,,2220,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1978,Exclusion of interest on general purpose State and local debt ,2925,1865,,International affairs
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on State and local debt for rental housing,1978,Exclusion of interest on State and local housing bonds,280,60,,Veterans benefits and services
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1978,,170,175,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1978,,215,220,,Income security
Veterans Benefits,Income security,Exclusion of military disability pensions,1978,,,115,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1978,,,75,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1978,,,840,,International affairs
Energy & Environment,Natural resources and environment,"Exclusion of payments in aid of construction of water, sewage, gas and electric utilities",1978,,10,,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1978,,,350,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1978,,,275,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1978,,,255,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1978,Exlcusion of social security benefits: Disability Insurnace Benefits,,515,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1978,Exlcusion of social security benefits: OASI benefits for retired workers,,4635,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1978,Exlcusion of social security benefits: Benefits for dependents and survivors,,730,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1978,,,50,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1978,Exclusion of untaxed unemployment insurance benefits.,,2090,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1978,Exclusion of veterans disability compensation,,800,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1978,,,40,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1978,Exclusion of workmen's compensation benefits.........,,835,,Commerce and housing credit
Housing & Community,Commerce and Housing,Exemption of credit union income,1978,,80,,,"Natural resources, environment, and energy"
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1978,,75,445,,Commerce and housing
Housing & Community,Commerce and Housing,Expensing of construction period interest and taxes,1978,,500,140,,International affairs
Medicare & Health,"Education, training, employment, and social services",Expensing of costs of removing certain architectural barriers to the handicapped,1978,Expensing of removal of architectural and transportation barriers to the handicapped,10,,,Agriculture
Energy & Environment,Energy,Expensing of exploration and development costs,1978,,1010,380,,Commerce and housing
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1978,Expensing of research and development expenditures,1360,25,,Interest
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1978,,10,10,,General government
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1978,,-40,,,Commerce and housing
Transportation,Transportation,Five-year amortization on railroad rolling stock,1978,,-40,,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",General jobs credit,1978,,1475,985,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1978,,,10,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Investment credit for ESOPs,1978,,315,,,
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),1978,Investment credit for rehabilitation of structures,,,,Income security
Commerce,Commerce and Housing,"Investment credit, other than ESOPs, rehabilitation of structures, energy property, and reforestation expenditures",1978,"Investment credit, other than ESOPs and rehabilitation of structures",10870,2250,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Maximum tax on personal service income,1978,,,1090,,Agriculture
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1978,,,9940,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1978,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,1650,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1978,,,780,,Commerce and housing
Commerce,Commerce and Housing,"Reduced rates on the first $100,000 of corporate income:",1978,,,,,Energy
Energy & Environment,Energy,Residential energy credits:,1978,,,,,Natural resources and environment
Commerce,International affairs,Special rate for Western Hemisphere trade corporations,1978,,25,,,Commerce and housing
Housing & Community,Commerce and Housing,Surtax exemption (through 1978),1978,,5225,,,Agriculture
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Targeted jobs credit,1978,,,,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,1978,,685,,,Budget Function
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,1978,Tax credit for the elderly,,170,,
Energy & Environment,Natural resources and environment,Tax incentives for preservation of historic structures,1978,,,,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1979,,,1745,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1979,,,35,,Income security
Energy & Environment,Energy,"Alternative, conservation and new technology credits",1979,,220,,,
Commerce,Commerce and Housing,Asset depreciation range,1979,,2460,130,,Commerce and housing
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1979,"Capital gains (other than agriculture, timber, iron ore, and coal)",655,10190,,Income security
Commerce,Agriculture,Capital gains treatment of certain income,1979,,15,365,,Commerce and housing
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1979,,385,110,,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of iron ore,1979,,10,10,,Income security
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1979,,10,65,,Commerce and housing credit
Housing & Community,Commerce and Housing,Carryover basis of capital gains at death,1979,Capital gains at death,,4440,,Community and Regional Development
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1979,,,715,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1979,,45,5,,Income security
Government,General government,Credits and deductions for political contributions,1979,,,80,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1979,,,530,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1979,,325,680,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1979,,200,1020,,Income security
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1979,,405,5110,,Income security
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1979,,,3085,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1979,,,3215,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1979,,,10745,,"Natural resources, environment, and energy"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1979,,,12595,,"General science, space, and technology"
Government,Transportation,Deductibility of nonbusiness State gasoline taxes,1979,,,350,,"General science, space, and technology"
Commerce,Agriculture,Deductibility of noncash patronage dividends and certain other items of cooperatives,1979,,505,-170,,"General science, space, and technology"
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1979,Deductibility of property tax on owner-occupied homes,,6760,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1979,,,1125,,Natural resources and environment
Commerce,International affairs,Deferral of income from controlled foreign corporations,1979,,530,,,Agriculture
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1979,,1210,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1979,Deferral of interest on savings bonds,,500,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1979,,75,,,Community and Regional Development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1979,,135,120,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1979,,70,290,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1979,,,460,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1979,,,300,,Veterans benefits and services
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1979,,780,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess first-year depreciation,1979,,50,135,,"Education, training, employment, and social services"
Energy & Environment,Energy,Excess of percentage over cost depletion,1979,,1010,820,,"Education, training, employment, and social services"
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1979,,,1360,,Income security
Housing & Community,Commerce and Housing,Exclusion of capital gains on home sales for persons age 55 and over,1979,,,225,,Income security
Housing & Community,Income security,Exclusion of capital gains on home sales for persons age 65 and over,1979,,,75,,
Food & Agriculture,Agriculture ,Exclusion of certain cost-sharing payments,1979,,,,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of contributions to prepaid legal services plans,1979,,,15,,"General science, space, and technology"
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1979,,,185,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1979,,,325,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1979,,,11080,,Energy
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,1979,Employer educational assistance,,20,,Natural resources and environment
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1979,,,190,,Commerce and housing
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1979,,,530,,Commerce and housing
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1979,,,2910,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1979,Exclusion of interest on general purpose State and local debt ,3245,2120,,International affairs
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on State and local debt for rental housing,1979,Exclusion of interest on State and local housing bonds for rental housing,410,80,,Income security
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1979,,200,215,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1979,,240,255,,Health
Veterans Benefits,Income security,Exclusion of military disability pensions,1979,,,115,,
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1979,,,85,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1979,,,1350,,International affairs
Energy & Environment,Natural resources and environment,"Exclusion of payments in aid of construction of water, sewage, gas and electric utilities",1979,,10,,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1979,,,345,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1979,,,285,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1979,,,310,,Commerce and housing credit
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1979,Exclusion of social security benefits: Disability insurance benefits,,590,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1979,Exclusion of social security benefits: OASI benefits for retired workers,,5465,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1979,Exclusion of social security benefits: Benefits for dependents and survivors ,,845,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1979,,,50,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1979,Exclusion of untaxed unemployment insurance benefits.,,1885,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1979,Exclusion of veterans disability compensation,,915,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1979,,,45,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1979,Exclusion of workmen's compensation benefits.........,,980,,Commerce and housing credit
Housing & Community,Commerce and Housing,Exemption of credit union income,1979,,90,,,Commerce and transportation
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1979,,75,445,,Commerce and housing
Housing & Community,Commerce and Housing,Expensing of construction period interest and taxes,1979,,525,90,,International affairs
Medicare & Health,"Education, training, employment, and social services",Expensing of costs of removing certain architectural barriers to the handicapped,1979,Expensing of removal of architectural and transportation barriers to the handicapped,10,,,Agriculture
Energy & Environment,Energy,Expensing of exploration and development costs,1979,,1275,470,,Agriculture
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1979,Expensing of research and development expenditures,1490,35,,Interest
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1979,,5,10,,General purpose fiscal assistance
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1979,,-25,,,Commerce and housing
Transportation,Transportation,Five-year amortization on railroad rolling stock,1979,,-40,,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",General jobs credit,1979,,1120,685,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1979,,,10,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Investment credit for ESOPs,1979,,650,,,
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),1979,Investment credit for rehabilitation of structures,55,10,,Commerce and housing
Commerce,Commerce and Housing,"Investment credit, other than ESOPs, rehabilitation of structures, energy property, and reforestation expenditures",1979,"Investment credit, other than ESOPs and rehabilitation of structures",13910,2590,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Maximum tax on personal service income,1979,,,1215,,Agriculture
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Employer plans,1979,,,11335,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Net exclusion of pension contributions and earnings: Self-Employed plans,1979,Net exclusion of pension contributions and earnings: Plans for self-employed and others,,1765,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Parental personal exemption for students age 19 or over,1979,,,935,,Commerce and housing
Commerce,Commerce and Housing,"Reduced rates on the first $100,000 of corporate income:",1979,,3285,,,Energy
Energy & Environment,Energy,Residential energy credits:,1979,,,645,,Natural resources and environment
Commerce,International affairs,Special rate for Western Hemisphere trade corporations,1979,,15,,,Commerce and housing
Housing & Community,Commerce and Housing,Surtax exemption (through 1978),1979,,3110,,,
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Targeted jobs credit,1979,,15,,,Energy
Commerce,General purpose fiscal assistance,Tax credit for corporations receiving income from doing business in United States possessions,1979,,740,,,Energy
"Social Security, Unemployment & Labor",Income security,Tax credit for the elderly and disabled,1979,Tax credit for the elderly,,145,,
Energy & Environment,Natural resources and environment,Tax incentives for preservation of historic structures,1979,,5,10,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Additional exemption for elderly,1980,,,2040,,Commerce and housing
"Social Security, Unemployment & Labor",Income security,Additional exemption for the blind,1980,,,30,,Income security
Energy & Environment,Energy,Alcohol fuel credit,1980,,,,,Health
Energy & Environment,Energy,Alternative fuel production credit,1980,,5,,,
Energy & Environment,Energy,"Alternative, conservation and new technology credits: Conservation incentives",1980,,190,,,Energy
Energy & Environment,Energy,"Alternative, conservation and new technology credits: Supply incentives",1980,,140,10,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Amortization of start-up costs (normal tax method),1980,,,,,Commerce and housing credit
Commerce,Commerce and Housing,Asset depreciation range,1980,,2880,150,,Commerce and housing
Commerce,Commerce and Housing,"Capital gains (except agriculture, timber, iron ore and coal)",1980,"Capital gains (other than agriculture, timber, iron ore, and coal)",715,15415,,Income security
Commerce,Agriculture,Capital gains treatment of certain income,1980,,20,385,,
Energy & Environment,Natural resources and environment,Capital gains treatment of certain timber income,1980,,420,120,,Health
Energy & Environment,Natural resources and environment,Capital gains treatment of iron ore,1980,,10,10,,Commerce and housing credit
Energy & Environment,Energy,Capital gains treatment of royalties on coal,1980,,10,70,,National defense
Housing & Community,Commerce and Housing,Carryover basis of capital gains at death,1980,Capital gains at death,,4750,,Community and Regional Development
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for child and dependent care expenses,1980,,,885,,Agriculture
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Credit for employment of AFDC recipients and public assistance recipients under work incentive programs,1980,,45,5,,Income security
Government,General government,Credits and deductions for political contributions,1980,,,80,,Community and Regional Development
"Social Security, Unemployment & Labor",Income security,Deductibility of casualty losses,1980,,,570,,Natural resources and environment
Education,"Education, training, employment, and social services",Deductibility of charitable contributions (education),1980,,305,785,,International affairs
Medicare & Health,Health,Deductibility of charitable contributions (health),1980,,190,1180,,Income security
Housing & Community,"Education, training, employment, and social services","Deductibility of charitable contributions, other than education and health",1980,,375,5895,,Income security
Commerce,Commerce and Housing,Deductibility of interest on consumer credit,1980,,,4745,,Income security
Medicare & Health,Health,Deductibility of medical expenses,1980,,,3150,,Commerce and housing
Housing & Community,Commerce and Housing,Deductibility of mortgage interest on owner-occupied homes,1980,,,15615,,"Natural resources, environment, and energy"
Government,Commerce and Housing,Deductibility of nonbusiness State and local taxes other than on owner-occupied homes,1980,,,14690,,"General science, space, and technology"
Commerce,Agriculture,Deductibility of noncash patronage dividends and certain other items of cooperatives,1980,,540,-175,,Income security
Housing & Community,Commerce and Housing,Deductibility of State and local property tax on owner-occupied homes,1980,,,7310,,Natural resources and environment
Housing & Community,Commerce and Housing,Deferral of capital gains on home sales,1980,,,1010,,Natural resources and environment
Commerce,International affairs,Deferral of income from controlled foreign corporations,1980,,450,,,Agriculture
Commerce,International affairs,Deferral of income of domestic international sales corporations (DISC),1980,,1430,,,Agriculture
Interest on Debt,Interest,Deferral of interest on US savings bonds,1980,Deferral of interest on savings bonds,,80,,Commerce and housing
Transportation,Transportation,Deferral of tax on shipping companies,1980,,75,,,Community and regional development
Housing & Community,Commerce and Housing,Depreciation on buildings (other than rental housing) in excess of straight line,1980,,135,120,,Income security
Housing & Community,Commerce and Housing,Depreciation on rental housing in excess of straight line,1980,,75,310,,Income security
Commerce,Commerce and Housing,Dividend exclusion,1980,,,430,,Veterans benefits and services
"Social Security, Unemployment & Labor",Income security,Earned income tax credit,1980,,,720,,Veterans benefits and services
Energy & Environment,Energy,Energy credit for intercity buses,1980,,,,,Social Security
Commerce,Commerce and Housing,Excess bad debt reserves of financial institutions,1980,,470,,,"Education, training, employment, and social services"
Commerce,Commerce and Housing,Excess first-year depreciation,1980,,50,135,,"Education, training, employment, and social services"
Energy & Environment,Natural resources and environment,"Excess of percentage over cost depletion, nonfuel minerals",1980,,345,15,,Income security
Energy & Environment,Energy,Excess of percentage over cost depletion:  Other fuels,1980,,455,20,,Income security
Energy & Environment,Energy,Excess of percentage over cost depletion: Oil and gas,1980,,370,1120,,Income security
Military,National defense,Exclusion of benefits and allowances to armed forces personnel,1980,,,1470,,Income security
Housing & Community,Commerce and Housing,Exclusion of capital gains on home sales for persons age 55 and over,1980,,,535,,General government
Food & Agriculture,Agriculture ,Exclusion of certain cost-sharing payments,1980,,,30,,Income security
Housing & Community,"Education, training, employment, and social services",Exclusion of contributions to prepaid legal services plans,1980,,,20,,Income security
"Social Security, Unemployment & Labor",Income security,Exclusion of disability pay,1980,,,170,,Energy
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Exclusion Of Employee Meals And Lodging (Other Than Military),1980,,,350,,Veterans benefits and services
Medicare & Health,Health,Exclusion of employer contributions for medical insurance premiums and medical care,1980,,,12075,,"Education, training, employment, and social services"
Education,"Education, training, employment, and social services",Exclusion of employer-provided educational assistance,1980,Employer educational assistance,,30,,Natural resources and environment
Veterans Benefits,Veterans' benefits and services,Exclusion of GI bill benefits,1980,,,190,,Commerce and housing
International affairs,International affairs,Exclusion of income earned abroad by US citizens,1980,,,555,,Commerce and housing
Medicare & Health,Health,Exclusion of interest on hospital construction bonds,1980,Exclusion of interest on State and local hospital bonds,285,140,,Energy
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on life insurance savings,1980,,,3490,,Natural resources and environment
Government,General purpose fiscal assistance,Exclusion of interest on public purpose State and local bonds,1980,Exclusion of interest on general purpose State and local debt ,3300,1625,,International affairs
"Social Security, Unemployment & Labor",Commerce and Housing,Exclusion of interest on State and local debt for rental housing,1980,Exclusion of interest on State and local housing bonds for rental housing,135,175,,Veterans benefits and services
Energy & Environment,Natural resources and environment,Exclusion of interest on State and local government pollution control bonds,1980,,425,210,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local housing bonds for owner-occupied housing,1980,,245,202,,"Education, training, employment, and social services"
Housing & Community,Commerce and Housing,Exclusion of interest on State and local industrial development bonds,1980,,730,180,,"Education, training, employment, and social services"
Energy & Environment,Energy,Exclusion of interest on State and local industrial development bonds for certain energy facilities,1980,,,,,Income security
Education,"Education, training, employment, and social services",Exclusion of interest on student loan bonds,1980,Exclusion of interest on State and local student loan bonds,30,15,,Health
Veterans Benefits,Income security,Exclusion of military disability pensions,1980,,,135,,Community and regional development
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on accident and disability insurance,1980,,,90,,International affairs
"Social Security, Unemployment & Labor",Income security,Exclusion of other employee benefits: Premiums on group term life insurance,1980,,,1675,,International affairs
Energy & Environment,Natural resources and environment,"Exclusion of payments in aid of construction of water, sewage, gas and electric utilities",1980,,60,,,Transportation
"Social Security, Unemployment & Labor",Income security,Exclusion of public assistance benefits,1980,,,390,,Energy
"Social Security, Unemployment & Labor",Income security,Exclusion of railroad retirement system benefits,1980,,,320,,Natural resources and environment
Education,"Education, training, employment, and social services",Exclusion of scholarship and fellowship income (normal tax method),1980,,,355,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for disabled workers,1980,Exclusion of social security benefits: Disability insurance benefits,,690,,Commerce and housing
"Social Security, Unemployment & Labor",Social Security,Exclusion of social security benefits: Social Security benefits for retired workers ,1980,Exclusion of social security benefits: OASI benefits for retired workers,,6890,,Energy
"Social Security, Unemployment & Labor",Social Security,"Exclusion of social security benefits: Social Security benefits for spouses, dependents and survivors",1980,Exclusion of social security benefits: Benefits for dependents and survivors ,,1015,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Exclusion of special benefits for disabled coal miners,1980,,,90,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor",Income security,Exclusion of unemployment insurance benefits,1980,Exclusion of untaxed unemployment insurance benefits.,,3350,,"Education, training, employment, and social services"
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans death benefits and disability compensation,1980,Exclusion of veterans disability compensation.,,1065,,Income security
Veterans Benefits,Veterans' benefits and services,Exclusion of veterans pensions,1980,,,75,,Commerce and housing credit
"Social Security, Unemployment & Labor",Income security,Exclusion of workers' compensation benefits,1980,Exclusion of workmen's compensation benefits.........,,2200,,Commerce and housing credit
Housing & Community,Commerce and Housing,Exemption of credit union income,1980,,110,,,Commerce and transportation
Food & Agriculture,Agriculture,Expensing of certain capital outlays,1980,,75,430,,International affairs
Housing & Community,Commerce and Housing,Expensing of construction period interest and taxes,1980,,555,140,,International affairs
Energy & Environment,Natural resources and environment,"Expensing of exploration and development costs, nonfuel minerals",1980,,20,,,Income security
Energy & Environment,Energy,Expensing of exploration and development costs: Oil and gas,1980,,1505,670,,"Education, training, employment, and social services"
Energy & Environment,Energy,Expensing of exploration and development costs: Other fuels,1980,,20,,,"Education, training, employment, and social services"
Science,"General science, space, and technology",Expensing of research and experimentation expenditures,1980,Expensing of research and development expenditures,1760,35,,Interest
Housing & Community,Community and regional development,Five-year amortization for housing rehabilitation,1980,,5,10,,General purpose fiscal assistance
Energy & Environment,Natural resources and environment,Five-year amortization on pollution control facilities,1980,,15,,,Commerce and housing
Transportation,Transportation,Five-year amortization on railroad rolling stock,1980,,-40,,,Commerce and housing
"Social Security, Unemployment & Labor","Education, training, employment, and social services",General jobs credit,1980,,190,,,Agriculture
"Social Security, Unemployment & Labor",Income security,Income of trusts to finance supplementary unemployment benefits,1980,,,15,,"Education, training, employment, and social services"
Energy & Environment,Natural resources and environment,Investment credit and seven-year amortization for reforestation expenditures,1980,,,,,"Education, training, employment, and social services"
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Investment credit for ESOPs,1980,,695,,,
Housing & Community,Community and regional development,Investment credit for rehabilitation of structures (other than  historic),1980,Investment credit for rehabilitation of structures. ,120,60,,Income security
Commerce,Commerce and Housing,"Investment credit, other than ESOPs, rehabilitation of structures, energy property, and reforestation expenditures",1980,"Investment credit, other than ESOPs and rehabilitation of structures and energy",15200,3050,,Income security
"Social Security, Unemployment & Labor","Education, training, employment, and social services",Maximum tax on personal service income,1980,,,1320,,Community and regional development
